provincia,macro_sector,anio,vab,participacion_pct
Catamarca,Transporte y comunicaciones,2011,264.00672056005646,6.2385576687428275
Catamarca,Servicios financieros e inmobiliarios,2011,236.65042070378226,5.592120131490949
Catamarca,"Agro, pesca y silvicultura",2011,189.68750220980243,4.482372339102783
Catamarca,Resto / no clasificado,2011,156.0121686192782,3.686614147140971
Catamarca,Construcción,2011,129.9919974858028,3.0717497307261734
Catamarca,Otros servicios,2011,94.11994427257505,2.2240823978939206
Catamarca,Hotelería y gastronomía,2011,49.5623969290983,1.1711742443047601
Catamarca,Minería y energía,2012,1256.8066457017776,29.05176523877875
Catamarca,"Administración pública, salud y educación",2012,853.7067110132589,19.733892270499833
Catamarca,Comercio,2012,558.6295274124668,12.91302360736232
Catamarca,Industria manufacturera,2012,540.2270328152553,12.48763999352285
Catamarca,Transporte y comunicaciones,2012,286.47107367861213,6.621933778496855
Catamarca,Servicios financieros e inmobiliarios,2012,253.10138558765937,5.850575393477886
Catamarca,Resto / no clasificado,2012,152.78071526785573,3.5316088502189937
Catamarca,"Agro, pesca y silvicultura",2012,148.8023369502236,3.4396464840824277
Catamarca,Construcción,2012,130.4118831471874,3.014541199711431
Catamarca,Otros servicios,2012,98.29098364321993,2.2720492381682105
Catamarca,Hotelería y gastronomía,2012,46.86561120085289,1.0833239456804475
Catamarca,Minería y energía,2013,1013.3636873357349,24.489814215401157
Catamarca,"Administración pública, salud y educación",2013,907.3500270885033,21.92779736380541
Catamarca,Comercio,2013,560.9398458376003,13.556152428054514
Catamarca,Industria manufacturera,2013,546.5521879788037,13.208447973710918
Catamarca,Transporte y comunicaciones,2013,296.1057090539714,7.1559440045821265
Catamarca,Servicios financieros e inmobiliarios,2013,256.70242011231016,6.203690398382648
Catamarca,Construcción,2013,160.4084370617182,3.8765675850814745
Catamarca,Resto / no clasificado,2013,140.6526094650062,3.399131346185853
Catamarca,"Agro, pesca y silvicultura",2013,104.45247656475416,2.5242879504936133
Catamarca,Otros servicios,2013,103.13629209477601,2.492479910057799
Catamarca,Hotelería y gastronomía,2013,48.2349391508329,1.1656868242444882
Catamarca,Minería y energía,2014,1141.0743965327986,26.767878722928284
Catamarca,"Administración pública, salud y educación",2014,962.6942566132138,22.583350556793786
Catamarca,Industria manufacturera,2014,522.1351157072643,12.248499744365656
Catamarca,Comercio,2014,518.5479524241831,12.164350321670149
Catamarca,Transporte y comunicaciones,2014,319.0074356975456,7.483431734522139
Catamarca,Servicios financieros e inmobiliarios,2014,258.72913871825165,6.06939409765188
Catamarca,Construcción,2014,172.70650023352252,4.0514331641823285
Catamarca,Resto / no clasificado,2014,132.029426074895,3.097210555042921
Catamarca,"Agro, pesca y silvicultura",2014,102.11966848873853,2.3955729001002286
Catamarca,Otros servicios,2014,89.54208905563495,2.100521918397094
Catamarca,Hotelería y gastronomía,2014,44.2635661499289,1.0383562843455265
Catamarca,"Administración pública, salud y educación",2015,875.2583984687424,22.705023955035713
Catamarca,Minería y energía,2015,702.0575829511951,18.21203231709478
Catamarca,Comercio,2015,543.6398805847757,14.102528502650978
Catamarca,Industria manufacturera,2015,528.169651462795,13.701216246271631
Catamarca,Transporte y comunicaciones,2015,346.08599021825285,8.977795256983542
Catamarca,Servicios financieros e inmobiliarios,2015,273.2773450787466,7.089070698706458
Catamarca,Construcción,2015,160.8807611098642,4.173397868897222
Catamarca,"Agro, pesca y silvicultura",2015,148.46404196085345,3.851296525780195
Catamarca,Resto / no clasificado,2015,144.58408659731816,3.7506468437803893
Catamarca,Otros servicios,2015,89.09215778272772,2.3111341521562045
Catamarca,Hotelería y gastronomía,2015,43.40080637669898,1.1258576326428804
Catamarca,"Administración pública, salud y educación",2016,865.8896763044456,22.44893387546406
Catamarca,Minería y energía,2016,810.1684763083956,21.004313887024534
Catamarca,Comercio,2016,522.6082716326455,13.549068494179465
Catamarca,Industria manufacturera,2016,478.8714167155518,12.415152949482076
Catamarca,Transporte y comunicaciones,2016,358.22494500578847,9.287289504707319
Catamarca,Servicios financieros e inmobiliarios,2016,267.3597239097017,6.93153057168561
Catamarca,"Agro, pesca y silvicultura",2016,185.5698469527604,4.811057733477122
Catamarca,Resto / no clasificado,2016,123.36401864317928,3.198318184080686
