provincia,anio,hhi
Mendoza,2009,0.0751651071813621
Mendoza,2010,0.07154975362521666
Mendoza,2011,0.07261125541068025
Mendoza,2012,0.07167831602963312
Mendoza,2013,0.07106234154176783
Mendoza,2014,0.06929756137206503
Mendoza,2015,0.07096180738883753
Mendoza,2016,0.07051104165179037
Mendoza,2017,0.06821802032717435
Mendoza,2018,0.06821304769308704
Mendoza,2019,0.06595313261798931
Mendoza,2020,0.06985231501302971
Mendoza,2021,0.06932403333967556
Mendoza,2022,0.06803282245381664
Mendoza,2023,0.06747254127697415
Mendoza,2024,0.06843113519302517
Misiones,2004,0.06594784110669481
Misiones,2005,0.06598126067600238
Misiones,2006,0.06587660590324416
Misiones,2007,0.06492460823116797
Misiones,2008,0.06393268464130605
Misiones,2009,0.061745765135618
Misiones,2010,0.061610881286174125
Misiones,2011,0.06154301438794715
Misiones,2012,0.05972648640277399
Misiones,2013,0.059234479456679305
Misiones,2014,0.05820188662543901
Misiones,2015,0.05769550277426459
Misiones,2016,0.05718563670265301
Misiones,2017,0.057052924717293264
Misiones,2018,0.05687123822477421
Misiones,2019,0.05636995677681068
Misiones,2020,0.06227517550048726
Misiones,2021,0.06118897198807768
Misiones,2022,0.06100591626924769
Misiones,2023,0.06086726767055003
Misiones,2024,0.05925380605718983
Neuquén,2004,0.33783668668923916
Neuquén,2005,0.30140682667345586
Neuquén,2006,0.26988088114607145
Neuquén,2007,0.24522653258396784
Neuquén,2008,0.22350817876074125
Neuquén,2009,0.21533639790539408
Neuquén,2010,0.20320698613754465
Neuquén,2011,0.18327419807997636
Neuquén,2012,0.16719376273099087
Neuquén,2013,0.16062493522007604
Neuquén,2014,0.1615149159222388
Neuquén,2015,0.1567253023363221
Neuquén,2016,0.15573263057314224
Neuquén,2017,0.15410771405026694
Neuquén,2018,0.16616305895502875
Neuquén,2019,0.18960817832931223
Neuquén,2020,0.20702456246220657
Neuquén,2021,0.22546666031759852
Neuquén,2022,0.26576943365727274
Neuquén,2023,0.2938518812856583
Neuquén,2024,0.3337450131109349
Río Negro,2004,0.07653966388211061
Río Negro,2005,0.07561621185901798
Río Negro,2006,0.0781135398500804
Río Negro,2007,0.07664653357300476
Río Negro,2008,0.07542811322144964
Río Negro,2009,0.07398338986169939
Río Negro,2010,0.07342700353257693
Río Negro,2011,0.0744555749096314
Río Negro,2012,0.0748308193278453
Río Negro,2013,0.07413364450940085
Río Negro,2014,0.07123227163046827
Río Negro,2015,0.06994934738973599
Río Negro,2016,0.06900788655870858
Río Negro,2017,0.06850492589068474
Río Negro,2018,0.06941644171625186
Río Negro,2019,0.06850610367660649
Río Negro,2020,0.07190501519634568
Río Negro,2021,0.06739725154112457
Río Negro,2022,0.06667191977279092
Río Negro,2023,0.06808873916863385
