provincia,sector,anio,vab,nota_calidad
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2005,638.6968965352668,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2006,661.6291887035874,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2007,750.2342539936607,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2008,694.0519265498914,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2009,658.3139989502127,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2010,790.7822150297744,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2011,829.526210956803,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2012,732.896971839286,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2013,701.6536231406677,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2014,730.6252819458974,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2015,723.0693267688381,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2016,642.5754749154327,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2017,621.1577120362346,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2018,564.4665222666205,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2019,523.6589884403794,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2020,408.57553546316524,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2021,492.86755765357447,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2022,465.9823852261207,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2023,467.2116248928843,provisorio
Ciudad Autónoma de Buenos Aires,Fabricación de productos textiles,2024,381.08689633469686,preliminar
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2004,1110.2735145534857,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2005,1340.2064385177061,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2006,1394.9126727510532,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2007,1478.2577086265353,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2008,1493.3359536528171,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2009,1458.611483672325,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2010,1617.6142685122272,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2011,1745.7221662448856,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2012,1534.119504327302,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2013,1558.814415928874,definitivo
