provincia,anio,vab,nota_calidad,es_jurisdiccion
Misiones,2010,6468.690863554532,definitivo,True
Misiones,2011,6890.465907207835,definitivo,True
Misiones,2012,6971.963933073058,definitivo,True
Misiones,2013,7275.60287575051,definitivo,True
Misiones,2014,7340.602956224029,definitivo,True
Misiones,2015,7555.406211776996,definitivo,True
Misiones,2016,7372.985553595275,definitivo,True
Misiones,2017,7552.488313134426,definitivo,True
Misiones,2018,7440.846024725171,definitivo,True
Misiones,2019,7277.645729364754,definitivo,True
Misiones,2020,6961.487939208579,definitivo,True
Misiones,2021,7816.568398460394,definitivo,True
Misiones,2022,8042.837077644262,definitivo,True
Misiones,2023,7921.475834919172,preliminar,True
Misiones,2024,7511.030204994835,preliminar,True
Neuquén,2004,13372.499426450642,definitivo,True
Neuquén,2005,13195.889155313078,definitivo,True
Neuquén,2006,13628.403859980126,definitivo,True
Neuquén,2007,13949.540312306714,definitivo,True
Neuquén,2008,14018.740378224302,definitivo,True
Neuquén,2009,13330.074204895616,definitivo,True
Neuquén,2010,13371.949372475256,definitivo,True
Neuquén,2011,13374.221019897428,definitivo,True
Neuquén,2012,12838.230822682952,definitivo,True
Neuquén,2013,12817.811729117542,definitivo,True
Neuquén,2014,13275.002822234466,definitivo,True
Neuquén,2015,13975.134470269693,definitivo,True
Neuquén,2016,13721.911144564552,definitivo,True
Neuquén,2017,13632.347899218712,definitivo,True
Neuquén,2018,14457.80334754926,definitivo,True
Neuquén,2019,15789.967543141353,definitivo,True
Neuquén,2020,14601.074661285616,definitivo,True
Neuquén,2021,17382.769771060393,definitivo,True
Neuquén,2022,20644.769500030678,definitivo,True
Neuquén,2023,23049.446049840182,preliminar,True
Neuquén,2024,25661.119564164113,preliminar,True
Río Negro,2004,5843.68911109249,definitivo,True
Río Negro,2005,6406.376855477959,definitivo,True
Río Negro,2006,7018.450347340538,definitivo,True
Río Negro,2007,7357.660076976105,definitivo,True
Río Negro,2008,7498.568888700254,definitivo,True
Río Negro,2009,7265.080509000966,definitivo,True
Río Negro,2010,7692.065976336184,definitivo,True
Río Negro,2011,8273.496241162937,definitivo,True
Río Negro,2012,8428.350503925463,definitivo,True
Río Negro,2013,8704.659686288844,definitivo,True
Río Negro,2014,8528.237966104674,definitivo,True
Río Negro,2015,8788.932137618654,definitivo,True
Río Negro,2016,8535.02538846945,definitivo,True
Río Negro,2017,8635.749256561825,definitivo,True
Río Negro,2018,8683.942116688724,definitivo,True
Río Negro,2019,8544.777447976408,definitivo,True
Río Negro,2020,7745.820825642554,definitivo,True
Río Negro,2021,8243.233016543649,definitivo,True
Río Negro,2022,8519.552117280595,definitivo,True
Río Negro,2023,8514.882525453075,preliminar,True
Río Negro,2024,8460.563327073045,preliminar,True
Salta,2004,7264.3663441389845,definitivo,True
Salta,2005,7806.329561458875,definitivo,True
Salta,2006,8576.222248848557,definitivo,True
Salta,2007,9208.789241090191,definitivo,True
Salta,2008,9596.607711476445,definitivo,True
Salta,2009,9187.2518509414,definitivo,True
Salta,2010,9918.138965102844,definitivo,True
Salta,2011,10461.221803958188,definitivo,True
Salta,2012,9929.634629378415,definitivo,True
Salta,2013,9513.381554070746,definitivo,True
Salta,2014,10031.92370757554,definitivo,True
Salta,2015,10806.704866998043,definitivo,True
Salta,2016,10443.627416951098,definitivo,True
Salta,2017,10832.797762984908,definitivo,True
Salta,2018,10714.78361341531,definitivo,True
Salta,2019,10851.63870189922,definitivo,True
Salta,2020,10042.548678894971,definitivo,True
Salta,2021,10766.816247820154,definitivo,True
Salta,2022,11115.293091854894,definitivo,True
Salta,2023,11485.28892082846,preliminar,True
Salta,2024,11065.990562826968,preliminar,True
San Juan,2004,4791.38168783071,definitivo,True
San Juan,2005,5256.855159910032,definitivo,True
San Juan,2006,5879.970971083377,definitivo,True
San Juan,2007,6265.337127620007,definitivo,True
San Juan,2008,6697.6754870431305,definitivo,True
San Juan,2009,6765.919110486781,definitivo,True
San Juan,2010,7882.314679278436,definitivo,True
San Juan,2011,8298.245856706611,definitivo,True
San Juan,2012,8372.924296187242,definitivo,True
San Juan,2013,8581.759295078284,definitivo,True
San Juan,2014,8172.512306221967,definitivo,True
San Juan,2015,7904.4433687122655,definitivo,True
San Juan,2016,7529.823500885286,definitivo,True
San Juan,2017,7705.027767105922,definitivo,True
San Juan,2018,7593.670017113162,definitivo,True
San Juan,2019,7364.097261300927,definitivo,True
San Juan,2020,6621.406266726823,definitivo,True
San Juan,2021,7385.926471901544,definitivo,True
San Juan,2022,7867.462874402562,definitivo,True
San Juan,2023,7770.368742414672,preliminar,True
San Juan,2024,7707.687856063136,preliminar,True
San Luis,2004,4486.51860352124,definitivo,True
San Luis,2005,4785.114549925445,definitivo,True
San Luis,2006,4949.946431781591,definitivo,True
San Luis,2007,5284.970663734568,definitivo,True
San Luis,2008,5474.115235259079,definitivo,True
San Luis,2009,5194.0035977680145,definitivo,True
San Luis,2010,5561.412462611791,definitivo,True
San Luis,2011,5907.646956054552,definitivo,True
San Luis,2012,5823.114665609324,definitivo,True
San Luis,2013,6233.473941982881,definitivo,True
San Luis,2014,6090.02867857402,definitivo,True
San Luis,2015,6432.568971569378,definitivo,True
San Luis,2016,6231.761709297075,definitivo,True
San Luis,2017,6317.333997739297,definitivo,True
San Luis,2018,5969.8311310489635,definitivo,True
San Luis,2019,5822.852628040145,definitivo,True
San Luis,2020,5078.408620763219,definitivo,True
San Luis,2021,5975.812584570851,definitivo,True
San Luis,2022,6238.592350487654,definitivo,True
San Luis,2023,6113.050087490278,preliminar,True
San Luis,2024,5574.489043516816,preliminar,True
Santa Cruz,2004,7427.584790299608,definitivo,True
Santa Cruz,2005,7585.025494084978,definitivo,True
Santa Cruz,2006,8247.073540300984,definitivo,True
Santa Cruz,2007,8251.301129296648,definitivo,True
Santa Cruz,2008,8255.085305455861,definitivo,True
Santa Cruz,2009,8437.505678054747,definitivo,True
Santa Cruz,2010,8624.743771582334,definitivo,True
Santa Cruz,2011,8600.132145826134,definitivo,True
Santa Cruz,2012,9212.686501727392,definitivo,True
Santa Cruz,2013,9310.183369911552,definitivo,True
Santa Cruz,2014,9423.042164097466,definitivo,True
Santa Cruz,2015,10294.44991128173,definitivo,True
Santa Cruz,2016,9512.294785071354,definitivo,True
Santa Cruz,2017,9289.21538147531,definitivo,True
Santa Cruz,2018,9158.609311683462,definitivo,True
Santa Cruz,2019,8957.755140383111,definitivo,True
Santa Cruz,2020,7753.635760594643,definitivo,True
Santa Cruz,2021,8235.527080450069,definitivo,True
Santa Cruz,2022,8355.637817690827,definitivo,True
Santa Cruz,2023,8320.49878583194,preliminar,True
Santa Cruz,2024,7963.499537961981,preliminar,True
Santa Fe,2004,34938.5999010332,definitivo,True
Santa Fe,2005,38666.4370980856,definitivo,True
Santa Fe,2006,40612.299729754326,definitivo,True
Santa Fe,2007,43484.708504504655,definitivo,True
Santa Fe,2008,44719.21186460518,definitivo,True
Santa Fe,2009,40020.19608239433,definitivo,True
Santa Fe,2010,46304.365232666474,definitivo,True
Santa Fe,2011,47627.48675167519,definitivo,True
Santa Fe,2012,45930.21647172726,definitivo,True
Santa Fe,2013,47948.06867151824,definitivo,True
Santa Fe,2014,46297.79934509238,definitivo,True
Santa Fe,2015,47210.3451712095,definitivo,True
Santa Fe,2016,44693.68049964764,definitivo,True
Santa Fe,2017,47304.20878126334,definitivo,True
Santa Fe,2018,45184.225247291004,definitivo,True
Santa Fe,2019,45670.52960065442,definitivo,True
Santa Fe,2020,41500.981910883456,definitivo,True
Santa Fe,2021,47464.55821944236,definitivo,True
Santa Fe,2022,48267.79001938352,definitivo,True
Santa Fe,2023,46567.37605598136,preliminar,True
Santa Fe,2024,48016.83689423082,preliminar,True
Santiago del Estero,2004,5165.689413779487,definitivo,True
Santiago del Estero,2005,5202.491355886574,definitivo,True
Santiago del Estero,2006,6407.9300993417955,definitivo,True
Santiago del Estero,2007,7164.796823714861,definitivo,True
Santiago del Estero,2008,7458.351562397036,definitivo,True
Santiago del Estero,2009,6377.302546295841,definitivo,True
Santiago del Estero,2010,8390.523250390763,definitivo,True
Santiago del Estero,2011,8891.230805307678,definitivo,True
Santiago del Estero,2012,8183.765041361052,definitivo,True
Santiago del Estero,2013,9193.922533529945,definitivo,True
Santiago del Estero,2014,10641.944702790763,definitivo,True
Santiago del Estero,2015,10470.096565766697,definitivo,True
Santiago del Estero,2016,10765.440389927968,definitivo,True
Santiago del Estero,2017,11407.750990289487,definitivo,True
Santiago del Estero,2018,10062.553120914466,definitivo,True
Santiago del Estero,2019,10578.344218696053,definitivo,True
Santiago del Estero,2020,9555.207463339597,definitivo,True
Santiago del Estero,2021,10272.449007066396,definitivo,True
Santiago del Estero,2022,10959.116010394335,definitivo,True
Santiago del Estero,2023,9497.230642813949,preliminar,True
Santiago del Estero,2024,9312.992946306487,preliminar,True
Tucumán,2004,7416.993102372293,definitivo,True
Tucumán,2005,8200.339908670028,definitivo,True
Tucumán,2006,9088.059674559605,definitivo,True
Tucumán,2007,9767.33266263302,definitivo,True
Tucumán,2008,10291.690214785403,definitivo,True
Tucumán,2009,9844.599150312166,definitivo,True
Tucumán,2010,10474.030477857294,definitivo,True
Tucumán,2011,11366.178301638936,definitivo,True
Tucumán,2012,11257.05408428752,definitivo,True
Tucumán,2013,11206.705392361891,definitivo,True
Tucumán,2014,10967.686398797354,definitivo,True
Tucumán,2015,11278.710654484235,definitivo,True
Tucumán,2016,11461.02931591199,definitivo,True
Tucumán,2017,11837.782241179875,definitivo,True
Tucumán,2018,11962.311705800812,definitivo,True
Tucumán,2019,12060.755145201036,definitivo,True
Tucumán,2020,10888.865688914026,definitivo,True
Tucumán,2021,11851.321977444386,definitivo,True
Tucumán,2022,11887.767267236322,definitivo,True
Tucumán,2023,11582.527751876467,preliminar,True
Tucumán,2024,11136.151550281395,preliminar,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2004,3329.921293747206,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2005,3626.259587136017,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2006,4101.171334110191,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2007,4259.477493786972,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2008,4252.289666112132,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2009,3831.302901826954,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2010,4812.189528128276,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2011,5967.5173592767915,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2012,6426.001554341258,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2013,6431.323604196876,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2014,5720.507279805042,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2015,5913.048245643806,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2016,5633.012679839971,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2017,5667.262069982659,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2018,5614.212944551392,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2019,5084.145013493656,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2020,4758.03703005955,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2021,5446.548461065831,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2022,5859.757660141521,definitivo,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2023,5607.549047156153,preliminar,True
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2024,4872.032955147113,preliminar,True
No distribuido,2004,294.1091785312619,definitivo,False
No distribuido,2005,144.1107304644981,definitivo,False
No distribuido,2006,179.42382937564037,definitivo,False
No distribuido,2007,118.25554686239134,definitivo,False
No distribuido,2008,101.35494631172763,definitivo,False
No distribuido,2009,134.95599108324254,definitivo,False
No distribuido,2010,307.16712270724753,definitivo,False
No distribuido,2011,290.90960990700563,definitivo,False
No distribuido,2012,280.2650550604603,definitivo,False
No distribuido,2013,315.245793723065,definitivo,False
No distribuido,2014,288.88013270328884,definitivo,False
No distribuido,2015,303.76155174334906,definitivo,False
No distribuido,2016,328.56058975361634,definitivo,False
No distribuido,2017,291.38121044596016,definitivo,False
No distribuido,2018,277.09929479937836,definitivo,False
No distribuido,2019,270.8382226990469,definitivo,False
No distribuido,2020,242.77277176767763,definitivo,False
No distribuido,2021,273.58567369979363,definitivo,False
No distribuido,2022,311.95507549517333,definitivo,False
No distribuido,2023,399.3290386446468,preliminar,False
No distribuido,2024,354.4375534150517,preliminar,False
Total,2004,412427.4593833925,definitivo,False
Total,2005,450303.33233439963,definitivo,False
Total,2006,484489.0863423166,definitivo,False
Total,2007,523313.96210307453,definitivo,False
Total,2008,542819.2808232146,definitivo,False
Total,2009,511683.81018198765,definitivo,False
Total,2010,562997.5366526027,definitivo,False
Total,2011,593520.2704362883,definitivo,False
Total,2012,585086.2889999056,definitivo,False
Total,2013,597995.549533906,definitivo,False
Total,2014,587117.3385828307,definitivo,False
Total,2015,602940.2317529828,definitivo,False
Total,2016,589623.0555009687,definitivo,False
Total,2017,604787.1451663844,definitivo,False
Total,2018,588532.6886690131,definitivo,False
Total,2019,579043.4126691399,definitivo,False
Total,2020,521692.24557097914,definitivo,False
Total,2021,576254.4606032021,definitivo,False
Total,2022,604816.0821576995,definitivo,False
Total,2023,595631.0755144242,preliminar,False
Total,2024,587215.0533979054,preliminar,False
